Nombre,Sexo,Fecha de nacimiento,Departamento,Fecha de juramentacion
Guido Bellido,M,7-Aug-79,Cusco,27-Jul-21
Violeta Bermudez,F,12-Aug-61,Lima,18-Nov-20
Antero Flores-Araoz,M,28-Feb-42,Lima,11-Nov-20
Walter Martos,M,11-Feb-57,Cajamarca,6-Aug-20
Pedro Cateriano ,M,26-Jun-58,Lima,15-Jul-20
Vicente Zeballos,M,10-May-63,Tacna,30-Sep-19
Salvador del Solar,M,1-May-70,Lima,11-Mar-19
Cesar Villanueva,M,5-Aug-46,San Martin,2-Apr-18
Mercedes Araoz,F,5-Aug-61,Lima,17-Sep-17
Fernando Zavala,M,19-Feb-71,Tacna,28-Jul-16
Pedro Cateriano,M,26-Jun-58,Lima,2-Apr-15
Ana Jara,F,11-May-68,Ica,22-Jul-14
Rene Cornejo,M,6-Jan-62,Arequipa,24-Feb-14
Cesar Villanueva,M,5-Aug-46,San Martin,31-Oct-13
Juan Jimenez Mayor,M,5-Aug-64,Lima,23-Jul-12
Oscar Valdes,M,3-Apr-49,Tacna,11-Dec-11
Salomon Lerner Ghitis,M,4-Feb-46,Lima,28-Jul-11
Rosario Fernandez,F,9-Nov-55,Lima,19-Mar-11
Jose Antonio Chang,M,19-May-58,Lima,14-Sep-10
Javier Velasquez Quesquen,M,12-Mar-60,Lambayeque,11-Jul-09
Yehude Simon,M,18-Jul-47,Lima,14-Oct-08
Jorge del Castillo,M,2-Jul-50,Lima,28-Jul-06
Pedro Pablo Kuczynski,M,3-Oct-38,Lima,16-Aug-05
Carlos Ferrero Costa,M,7-Feb-41,Lima,15-Dec-03
Beatriz Merino,F,15-Nov-47,Lima,23-Jun-03
Luis Solari,M,28-Jan-48,Lima,12-Jul-02
Roberto Dañino,M,2-Mar-51,Lima,28-Jul-01
Javier Perez de Cuellar,M,19-Jan-20,Lima,22-Nov-00
